time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.5710947095141445e-08,5.562655454129732e-07,10.003397976862368,0.00045662987939643074,6.283118902416064,0.0,4.874694463135869e-06,4.561769056837471e-05,0.11326062005695525,0.019623061716638673,-0.0034177663087640825,0.0,440.4447428509748,440.1620640869052,441.06041391852483,442.67772406303817
0.12000000000000001,2.743616660376079e-06,1.9772819349655573e-05,10.017094267847586,0.001505212049939253,6.282456231867521,0.0,0.00012809445835476916,0.0007303426456484738,0.3432409165441037,0.012794692317567302,-0.034187067457088466,0.0,477.6001006222683,475.24799097528256,476.6158279457602,476.0936622401898
0.18,3.896736751999589e-05,0.00010573022444670142,10.045664714468941,0.002147404909567996,6.280187965837175,0.0,0.0013510410556669661,0.002224412565456744,0.6090029550718091,0.006152592881637283,-0.0462497986851085,0.0,486.6311846639076,485.72695440649176,487.7150545186645,487.21866136384335
0.23999999999999996,0.00020502975705070638,0.00029345923859498755,10.088732789071514,0.0029931329740540136,6.277298169785563,0.0,0.004521722423975837,0.0041095735449080024,0.8264659435107409,0.026523012966294533,-0.052293218328066673,0.0,473.1255313770331,472.6588006789332,472.56132315199767,474.1286234050064
0.3,0.0006212488534735222,0.0006135515887973494,10.143052030085,0.004319033229888802,6.273935117047406,0.0,0.00970924308211913,0.006723107878144241,0.9840496295202364,0.011325187602523198,-0.06488377630189694,0.0,454.588253439697,453.5762468001875,457.56330425313354,456.35196459966164
0.36000000000000004,0.001443538841400471,0.001123766951277669,10.208480367542146,0.004949904975276809,6.270048816491565,0.0,0.01816004413061848,0.010360979769391827,1.196691382313844,0.00884181435548617,-0.06454851981643224,0.0,472.0831439089771,472.10619263513706,472.57490721977064,472.38333886946117
0.4200000000000001,0.0028317714129468376,0.0018541972965876639,10.28418844093458,0.0053179355834185316,6.26631669590166,0.0,0.028516781932793743,0.014034452624266218,1.3267626641932797,7.756750407130657e-05,-0.05788146148657047,0.0,447.6754843692902,448.21481717967777,448.00555996725757,447.2923650200167
0.48000000000000015,0.004981677155462299,0.0028294215875972915,10.371191233310686,0.005060852965947937,6.26257989815965,0.0,0.04358471069483173,0.018458048069222858,1.5730165021333584,-0.01487229697709547,-0.07296934369306154,0.0,482.95245818077234,481.81067806695165,483.83034642052013,482.7036741472329
0.5400000000000001,0.008100014886624178,0.004052147793323193,10.471406235745514,0.004378563695277116,6.257901820700951,0.0,0.060875794503107386,0.022207681938768386,1.7671922355919374,-0.005156549468384811,-0.09052701125877065,0.0,468.1533920885936,466.7806937959317,468.67896526168516,469.4335461702324
0.6000000000000002,0.012328381358013335,0.005480255964445519,10.581677294421517,0.004785037858018093,6.252424662472244,0.0,0.08065317138833744,0.025407588047162515,1.9082678898010186,0.023698944716651252,-0.09284765280053256,0.0,453.1878662391166,452.99447940498004,451.44002511735795,453.7622058008022
0.6600000000000003,0.017785452632636214,0.007103300995790521,10.697941698398404,0.006675625597103441,6.246657764586864,0.0,0.1017886439366869,0.028855362571198893,1.9670926757810512,0.04377151164608311,-0.10360914412256554,0.0,427.212807053133,426.28589927473706,427.12129308282226,428.8300302141335
0.7200000000000003,0.0245794684438448,0.008965131670104829,10.816528503495288,0.009346442232299523,6.2405446483665585,0.0,0.12523153056154906,0.03344355309175105,1.9857433028993823,0.04595753593561308,-0.0986455504105021,0.0,414.78209499907905,415.20793853479387,413.59790656814926,413.79167398293475
0.7800000000000004,0.033042702710837216,0.011185461447656989,10.939706500093207,0.011831871687546958,6.234516394163716,0.0,0.15750457999572254,0.04084754438980687,2.119916152702335,0.030321948554736997,-0.1043938934199068,0.0,451.82211808700947,451.3498976491993,452.33278437937565,451.07280964651915
0.8400000000000004,0.043616035749855286,0.013910286710108941,11.071765222870917,0.013366402805531585,6.22784629676652,0.0,0.19563630192299925,0.050164549146402254,2.2816894406275505,0.013812770464482945,-0.13028950715060222,0.0,460.34708280511546,458.2825261202093,462.6585312647762,461.35703003862375
0.9000000000000005,0.056673605434186265,0.017234747009558044,11.21422100211686,0.014736120731888569,6.2200946602741265,0.0,0.2404849662779623,0.060775594125719964,2.466396458285312,0.03655053788061512,-0.12709035214040162,0.0,468.5915351091493,468.825818161729,467.0044083295099,468.7745628625747
0.9600000000000005,0.07237965799416676,0.02118098044625121,11.364323517964586,0.01717463101153438,6.212753925816234,0.0,0.28376811724001855,0.07098935394642304,2.5368075234269836,0.047772917697197756,-0.11424059276850518,0.0,433.01677830415866,434.0823029957426,433.72292669351106,434.66530084487215
1.0200000000000005,0.09112362145852997,0.02586416760181777,11.522797201930322,0.02026313383318179,6.206025884505257,0.0,0.34179553730207834,0.08545946056685558,2.745095494966395,0.058004483668970375,-0.10822596769142367,0.0,476.5724052702561,477.0216536199922,476.0881920385746,476.87186098189994
1.0800000000000005,0.11334177898568468,0.03144757433100515,11.691631118540174,0.02403445067003762,6.1993013757190525,0.0,0.3994896399262497,0.10103674361097639,2.8822867093637483,0.07111947929291954,-0.12115967086032949,0.0,456.839069034427,455.7957062596117,456.117482969393,457.16637629581214
1.1400000000000006,0.13927943173444246,0.03808207560263921,11.869955236222264,0.02783868632282882,6.191583909072698,0.0,0.4658992694998839,0.12056739438967339,3.0612841410390925,0.039816414538978336,-0.15090684259561202,0.0,470.7965669027975,468.47444089360386,471.5544772445251,469.13262420471335
